ID,NAME,MSINI,A,PER,ECC,OM,T0,K,OTHERNAME,HD,HR,HIPP,GL,KEPID,R,DENSITY,GRAVITY
471,HD 108147 b,0.257999,0.101407,10.8985,0.53,308,2450828.86,25.1,,108147,,60644,,,,,0
472,Kepler-82 c,,0.256743,51.538,,,,,KOI-880,,,,,,0.477,,
473,WASP-61 b,2.05477,0.0514489,3.8559,0,90,2455859.528,233,,,,,,,1.24,1.41882,3.49736
474,Kepler-58 b,,0.0905953,10.2184954,,,,,KOI-1336,,,,,,0.247794,,
475,HD 215497 c,0.327524,1.28243,567.94,0.49,45,2455003.48,10.1,,215497,,112441,,,,,
476,CoRoT-17 b,2.45898,0.0480499,3.7681,0,90,2454923.309,312.4,2MASS 18344782-0636440,,,,,,1.02,2.82,3.73099
477,HD 20794 d,0.0147932,0.349781,90.309,0,0,2454779.34,0.85,2MASS J03195563-4304112,20794,1008,15510,,,,,
478,xi Aql b,1.77912,0.53813,136.75,0,0,2453001.7,65.4,,188310,7595,97938,,,,,0
479,HD 33564 b,9.12785,1.1241,388,0.34,205,2452603,232,,33564,,25110,196,,,,0
480,HD 40979 b,4.02224,0.846038,264.15,0.252,323.4,2453919,119.4,,40979,,28767,,,,,0
481,GJ 581 c,0.0167756,0.0729238,12.9182,0.07,235,2454763,3.18,,,,74995,581,,,,0
482,HD 10180 c,0.0415054,0.0641175,5.75962,0.077,279,2454001.496,4.54,2MASS J01375356-6030414,10180,,7599,,,,,
483,WASP-31 b,0.477154,0.0466223,3.405909,0,90,2455189.283,58.2,2MASS J11174536-1903171,,,,,,1.537,0.132,2.70021
484,HD 134987 c,0.804926,5.82513,5000,0.12,195,2451100,9.3,,134987,5657,74500,579.4,,,,0
485,HD 40307 b,0.0129071,0.0468927,4.3115,0,0,2454562.77,1.97,,40307,,27887,2046,,,,0
486,iota Dra b,9.31534,1.31029,511.098,0.7124,91.58,2452014.59,307.6,,137759,,75458,,,,,0
487,HD 108874 b,1.2902,1.03527,394.48124,0.1276,219.356,2454045.049,37.27,,108874,,61028,,,,,0
488,HD 4732 b,2.37727,1.19218,360.2,0.13,85,2454967,47.3,2MASS J00491393-2408119,4732,228,3834,,,,,
489,HD 23596 b,7.74272,2.77219,1561,0.266,272.6,2453162,127,,23596,,17747,,,,,0
490,HD 25171 b,0.956204,3.03064,1845,0.08,96,2455301,15,2MASS J03554943-6511122,25171,,18387,,,,,
491,HD 83443 b,0.395855,0.0404623,2.985698,0.013,117,2451211.79,56.2,,83443,,47202,,,,,0
492,WASP-36 b,2.25537,0.0262601,1.5373653,0,90,2455569.837,391.4,2MASS J08461929-0801370,,,,,,1.269,1.47451,3.54263
493,HD 43691 b,2.49717,0.241901,36.959999,0.14,290,2454046.6,124,,43691,,30057,,,,,0
494,30 Ari B b,9.87792,0.99475,335.1,0.289,307,2454538,272,2MASS J02365772+2438530,16232,,12184,,,,,
495,HAT-P-6 b,1.05632,0.0523738,3.852985,0,90,2454035.676,115.5,GSC 03239-00992,,,,,,1.33,0.559,3.17112
496,Kepler-35 b,0.127,0.48628,131.458,0.042,11.6336,2454920.3,,KOI-2937,,,,,,0.728,0.41,
497,BD -08 2823 c,0.328101,0.679166,237.6,0.19,127,2454193,13.4,LTT 3669,,,49067,,,,,
498,4 UMa b,7.13242,0.876999,269.29999,0.432,23.81,2452987.394,215.55,,73108,3403,42527,,,,,0
499,Qatar-1 b,1.08272,0.0234308,1.420033,0,90,2455518.41,218,J20133160+6509433,,,,,,1.164,0.9177,3.29893
500,HD 10697 b,6.23505,2.13177,1075.2,0.099,111.2,2451480,115.4,109 Psc,10697,508,8159,72,,,,0
501,Kepler-32 e,,0.0323795,2.896,,,2454966.61,,KOI-952,,,,,,0.133702,,
502,HD 113337 b,2.83,1.03346,324,0.46,219.2,2456074.5,75.6,2MASS J13014695+6336368,113337,4934,63584,,,,,
503,Kepler-11 f,0.00723,0.250413,46.6888,0.013,90,2455618.271,,KOI-157,,,,,,0.221888,0.69,3.94515
504,BD +20 2457 b,11.8883,1.04992,379.63,0.15,207.64,2454677.03,322.35,,,,,,,,,0
505,mu Ara d,0.0345873,0.0927843,9.6386,0.172,212.7,2452991.1,3.06,,160691,6585,86796,,,,,0
506,HD 3651 b,0.228975,0.29472,62.218,0.596,245.5,2453932.6,15.9,54 Psc,3651,166,3093,27,,,,0
507,HD 99706 b,1.40289,2.13423,868,0.37,6,2455220,22.4,2MASS J11283020+4357597,99706,,55994,,,,,
508,HD 169830 b,2.88946,0.813279,225.62,0.31,148,2451923,80.7,,169830,6907,90485,,,,,0
509,HD 175541 b,0.52763,0.961227,297.3,0.33,183,2450213,14,,175541,,92895,,,,,0
510,HD 202206 c,2.33098,2.49004,1383.4,0.267,78.99,2452435.99,42.01,,202206,,104903,,,,,0
511,HD 145457 b,2.97219,0.762504,176.3,0.112,300,2453518,70.6,2MASS J16100392+2644336,145457,,79219,,,,,
512,HD 206610 b,1.97113,1.53703,610,0.229,296,2454677,40.7,,206610,,107251,,,,,
513,HD 12661 c,1.9487,2.91927,1707.8812,0.0312556,165.406,2456153.417,30.4148,,12661,,9683,,,,,0
514,Kepler-12 b,0.431855,0.0556348,4.4379637,0,182,2455000.68,48.2,KOI-20,,,,,,1.695,0.111,2.57193
515,HAT-P-36 b,1.83475,0.0238229,1.327347,0.063,95,2455565.198,334.7,2MASS J12330390+4454552,,,,,,1.264,1.12,3.45213
516,WASP-35 b,0.716644,0.0431283,3.161575,0,90,2455531.479,94.82,2MASS J05041962-0613473,,,,,,1.32,0.4256,3.01332
517,HD 69830 d,0.0563373,0.627426,197,0.07,224,2453358,2.2,,69830,3259,40693,302,,,,0
518,HD 28254 b,1.1614,2.14768,1116,0.81,301,2454049,37.3,2MASS J04245071-5037196,28254,,20606,,,,,
519,HD 81688 b,2.6907,0.811148,184.02,0,0,2452335.4,58.58,,81688,3743,46471,,,,,0
520,HD 210277 b,1.27275,1.13105,442.19,0.476,119.1,2450104.3,38.94,,210277,,109378,84,,,,0
521,WTS-1 b,,0.0465809,3.352059,0.05,,2454318.747,,,,,,,,1.49,1.61,
522,HR 8799 c,,42.4842,82145,0,,,,,218396,8799,114189,,,1.2,,
523,Kepler-51 b,,0.248169,45.1555023,,,,,KOI-620,,,,,,0.628398,,
524,XO-1 b,0.918265,0.049283,3.941534,0,90,2453808.917,116,TYC 2041-1657-1,,,,,,1.206,0.65,3.21063
525,Kepler-33 d,,0.166175,21.77596,0,90,2455022.8,,KOI-707,,,,,,0.477,,
526,Kepler-20 d,0.0236858,0.345324,77.61184,0,74.0546,2454955.434,1.2,KOI-70,,,,,,0.24512,2.035,2.79659
527,55 Cnc b,0.801471,0.113377,14.651,0.004,110,2453035,71.11,,75732,3522,43587,324,,,,0
528,Kepler-74 b,0.665099,0.0827067,7.340718,0.287,64,2454967.04,58,KIC 6046540,,,,,,1.32,0.37,
529,HD 207832 b,0.564176,0.569755,161.97,0.13,130.8,2453191.073,22.1,2MASS J21523626-2601352,207832,,107985,,,,,
530,WASP-55 b,0.57116,0.0532575,4.465633,0,90,2455737.94,70,,,,,,,1.3,0.34476,2.92051
531,HD 33283 b,0.330171,0.145378,18.179001,0.48,155.8,2453017.6,25.2,,33283,,23889,,,,,0
532,OGLE-TR-111 b,0.548481,0.0468862,4.0161,0,90,2452330.449,78,,,,,,,1.051,0.59,3.0879
533,MOA-2007-BLG-400L b,,,,,,,,,,,,,,,,
534,HD 10180 e,0.0797893,0.269917,49.747,0.065,174,2454008.788,4.25,2MASS J01375356-6030414,10180,,7599,,,,,
535,55 Cnc d,3.54451,5.47467,4909,0.02,254,2453490,45.2,,75732,3522,43587,324,,,,0
536,WASP-3 b,2.00437,0.0314948,1.846834,0,90,2454605.559,290.5,2MASS J18343163+3539415,,,,,,1.29,1.0906,3.47541
537,HD 148156 b,0.847612,2.12913,1027,0.52,35,2454707,17.5,2MASS J16281729-4619034,148156,,80680,,,,,
538,TrES-5 b,1.77,0.0245157,1.4822446,0,90,2455443.252,339.8,GSC 03949-00967,,,,,,1.209,1.25,3.47659
539,HD 222155 b,2.02633,5.13864,3999,0.16,137,2456319,24.2,,222155,,116616,,,,,
540,HD 73526 b,2.8556,0.646509,188.3,0.19,203,2451167.147,102,,73526,,42282,,,,,0
541,HD 117207 b,1.8189,3.73753,2597,0.144,73,2450630,26.6,,117207,,65808,,,,,0
542,HD 121504 b,1.2223,0.328688,63.330002,0.03,265,2451450,55.8,,121504,,68162,,,,,0
543,HD 156846 b,11.0076,1.11751,359.51001,0.8472,52.23,2453998.09,464.3,,156846,,84856,,,,,0
544,Kepler-18 b,0.0216244,0.0447299,3.504725,0,90,2454966.507,,KOI-137,,,,,,0.17843,4.9,3.81783
545,HR 8799 d,,26.7553,41054,0.1,,,,,218396,8799,114189,,,1.37,,
546,HAT-P-23 b,2.0884,0.0231971,1.212884,0.106,118,2454852.341,368.5,2MASS J20242972+1645437,,,,,,1.368,1.01,3.44179
547,HD 224693 b,0.714594,0.192441,26.73,0.05,6,2453193.9,40.2,,224693,,118319,,,,,0
548,HD 158038 b,1.79425,1.49788,521,0.291,334,2455491,33.9,2MASS J17254543+2718118,158038,,85294,,,,,
549,Kepler-26 c,0,0.113189,17.25204,0,90,2454982.885,,KOI-250,,,,,,0.320884,,
550,GJ 179 b,0.824243,2.41241,2288,0.21,153,2455140,25.8,,,,22627,179,,,,0
551,Kepler-22 b,0,0.848513,289.8623,,,,,KOI-87,,,,,,0.2125,12.8929,
552,Kepler-68 c,0.0137538,0.0907019,9.605085,0,90,2454969.381,1.25,KIC 11295426,,,,,,0.0849452,28,3.67348
553,Kepler-42 d,,0.0150222,1.865169,,,,,KOI-961,,,,,,0.0508067,,
554,HD 143361 b,3.03499,2.03474,1086,0.18,187,2453439,63,,143361,,78521,,,,,0
555,HD 155358 b,0.819484,0.626938,194.3,0.17,143,2451224.8,32,,155358,,83949,,,,,0
556,HD 192310 b,0.0531258,0.322307,74.72,0.13,173,2455116.198,3,2MASS J20151734-2701585,192310,7722,99825,,,,,
557,WASP-64 b,1.2691,0.0265195,1.5732918,0,90,2455582.602,221,,,,,,,1.271,0.820794,3.29079
558,upsilon And b,0.669277,0.0593858,4.6171363,0.013,50.9829,2454425.017,68.2132,,9826,458,7513,61,,,,0
559,Kepler-56 c,,0.167568,21.4050484,,,,,KOI-1241,,,,,,0.699706,,
560,HD 86081 b,1.49595,0.0346186,2.1375,0.008,251,2453694.8,207.7,,86081,,48711,,,,,0
561,HD 109246 b,0.768085,0.328074,68.27,0.12,235,2454824.6,38.2,2MASS J12320721+7429223,109246,,61177,,,,,
562,Kepler-68 d,0.845413,1.39639,580,0.18,,,19.9,KIC 11295426,,,,,,,,
563,HD 128311 c,3.24848,1.74533,923.8,0.23,28,2456987,78.8,,128311,,71395,3860,,,,0
564,CoRoT-23 b,3.07662,0.0483417,3.6313,0.16,52,,377,2MASS J18390782+0421281,,,,,,1.05,3,
565,WASP-39 b,0.284135,0.0485835,4.055259,0,90,2455342.969,38,2MASS 14291840-0326403,,,,,,1.27,0.1862,2.64435
566,GJ 876 b,1.9469,0.208098,61.1166,0.0324,50.3,2450546.8,214,2MASS J22531672-1415489,,,113020,876,,,,0
567,HD 164509 b,0.480333,0.877542,282.4,0.26,324,2455703,14.2,2MASS J18013121+0006163,164509,,88268,,,,,
568,HD 9446 b,0.698769,0.189213,30.052,0.2,215,2454854.4,46.6,,9446,,7245,,,,,
569,HD 18742 b,2.8638,1.97816,772,0.12,102,2455200,44.3,2MASS J03001065-2048091,18742,,13993,,,,,
570,WASP-80 b,0.551763,0.0344696,3.0678504,0,,2456125.418,110.9,2MASS J20124017-0208391,,,,,,0.952,0.734604,3.17958
571,HD 167042 b,1.63682,1.29371,420.77,0.089,85.7,2454230.1,32.16,2MASS J18103166+5417114,167042,6817,89047,,,,,0
572,HD 69830 b,0.0316488,0.0781916,8.6669998,0.1,340,2453496.8,3.51,,69830,3259,40693,302,,,,0
573,Kepler-8 b,0.582607,0.0483278,3.52254,0,90,2454954.118,68.4,KOI-10,,,,,,1.419,0.261,2.85541
574,HD 114762 b,11.6351,0.362932,83.9151,0.3354,201.28,2449889.106,612.48,,114762,,64426,,,,,0
575,61 Vir c,0.0333747,0.216926,38.021,0.14,341,2453350.472,2.12,,115617,5019,64924,,,,,
576,HD 45652 b,0.468448,0.227878,43.6,0.38,273,2454120.3,33.1,,45652,,30905,,,,,0
577,HAT-P-14 b,2.22166,0.0606258,4.627669,0.107,94,2454875.331,219,2MASS  J17202788+3814317,,,,,,1.15,1.82,3.6213
578,WASP-66 b,2.30754,0.0546221,4.086052,0,90,2455929.096,246,,,,,,,1.39,1.14036,3.47154
579,HD 73256 b,1.86902,0.0371348,2.5485799,0.029,337.3,2452500.18,269,,73256,,42214,,,,,0
580,Kepler-56 b,,0.104248,10.5034294,,,,,KOI-1241,,,,,,0.342276,,
581,6 Lyn b,2.20888,2.18639,874.774,0.059,314.9,2454024.5,31.52,2MASS J06304711+5809453,45410,2331,31039,,,,,0
582,HD 180314 b,22.6261,1.45528,396.03,0.257,303.1,2453565.9,340.8,2MASS J19145022+3151371,180314,,94576,,,,,
583,HD 17092 b,4.96206,1.30798,359.89999,0.166,347.4,2452969.5,82.4,,17092,,,,,,,0
584,HIP 57274 b,0.0365708,0.0712798,8.1352,0.187,81,2454801.015,4.64,2MASS J11444095+3057339,,,57274,,,,,
585,HD 202206 b,16.8244,0.811776,255.87,0.435,161.18,2452175.336,564.75,,202206,,104903,,,,,0
586,WASP-5 b,1.62047,0.0271923,1.6284229,0,90,2454373.996,277.8,USNO-B1 0487-079949,,,,,,1.14,1.22,3.48707
587,Kepler-78 b,,0.0091466,0.35500744,,,,,KIC 8435766,,,,,,0.103396,,
588,CoRoT-2 b,3.27343,0.0280884,1.7429935,0.0143,102,2454237.592,563,GSC 00465-01282,,,,,,1.466,1.46523,3.5839
589,HD 108874 c,1.02837,2.72021,1680.3835,0.273039,10.4522,2452797.335,18.8971,,108874,,61028,,,,,0
590,MOA-2010-BLG-073L b,,,,,,,,,,,,,,,,
591,HD 200964 c,0.945722,2.00121,825,0.181,182.6,2455000,15.42,2MASS J21063983+0348110,200964,,104202,,,,,
592,HD 10180 h,0.206033,3.42452,2248,0.151,184,2453619.174,3.11,2MASS J01375356-6030414,10180,,7599,,,,,
593,HD 33142 b,1.41137,1.09038,326.6,0.12,138,2455324,30.4,2MASS J05073553-1359113,33142,,23844,,,,,
594,HAT-P-20 b,7.27817,0.03616,2.875317,0.015,317,2455079.875,1246,2MASS J07273995+2420118,,,,,,0.867,13.78,4.3781
595,HD 7924 b,0.0291185,0.0566409,5.3978,0.17,25,2454727.27,3.87,,7924,,6379,56.5,,,,0
596,CoRoT-5 b,0.461312,0.0496334,4.0378962,0.09,231.657,2454397.674,59.1,USNO-B1.0 0908-00103649,,,,,,1.388,0.217,2.76761
597,WASP-47 b,1.13635,0.0520112,4.1591399,0,90,2455764.346,136,,,,,,,1.15,0.9842,3.35698
598,OGLE-2011-BLG-0251 b,,,,,,,,EWS 2011-BLG-251,,,,,,,,
599,Kepler-36 b,0.0140374,0.115423,13.83989,0,90,2454960.975,,KOI-277,,,,,,0.132454,7.46,
600,HAT-P-35 b,1.05305,0.0497734,3.646706,0.025,248,2455576.604,120.7,2MASS J08130018+0447132,,,,,,1.332,0.55,3.16704
601,HD 99109 b,0.504198,1.10806,439.3,0.09,256,2451310,14.1,,99109,,55664,,,,,0
602,Kepler-5 b,2.11222,0.0506416,3.54846,0,90,2454955.901,227.5,KOI-18,,,,,,1.431,0.894,3.40736
603,HD 10647 b,0.925037,2.02175,1003,0.16,336,2450960,17.9,,10647,,7978,,,,,0
604,Kepler-28 c,0,0.0768547,8.98597,0,90,2454981.728,,KOI-870,,,,,,0.303057,,
605,upsilon And c,1.91855,0.830445,241.33335,0.223848,250.76,2454265.567,53.6229,,9826,458,7513,61,,,,0
606,WASP-12 b,1.34899,0.0225329,1.09142245,0.049,286,2454508.484,226,2MASS J063032.79+294020.4,,,,,,1.79,0.32,3.03424
607,HD 170469 b,0.668676,2.23538,1145,0.11,34,2451669,12,,170469,,90593,,,,,0
608,HD 88133 b,0.296108,0.0469104,3.41587,0.133,349,2453016.31,36.1,,88133,,49813,,,,,0
609,HD 196885 b,2.9439,2.54171,1333,0.48,78,2452554,53.9,,196885,,101966,,,,,0
610,24 Sex b,1.83564,1.4118,455.2,0.184,227,2454758,33.2,2MASS J10232836-0054079,90043,,50887,,,,,
611,HD 190228 b,5.94193,2.60478,1136.1,0.531,101.2,2453522,91.4,,190228,,98714,,,,,0
612,OGLE-2006-BLG-109L b,,2.30586,1789.72,,,,17.4,,,,,,,,,
613,HD 181720 b,0.37199,1.84741,956,0.26,177,2453631,8.4,,181720,,95262,,,,,
614,55 Cnc c,0.164558,0.237305,44.38,0.07,356,2453083,10.12,,75732,3522,43587,324,,,,0
615,HD 156411 b,0.732711,1.87545,842.2,0.22,45,2454356,14,2MASS J17195139-4832576,156411,,84787,,,,,
616,91 Aqr b,3.07016,0.688457,181.4,0.027,177.3,2453472.1,91.5,2MASS 23155346-0905158,219449,8841,114855,,,,,
617,HD 27894 b,0.617925,0.122117,17.990999,0.049,132.9,2453275.46,58.1,,27894,,20277,,,,,0
618,HD 156279 b,9.7848,0.494507,131.05,0.708,264.2,2455525.59,578,2MASS J17122319+6321074,156279,,84171,,,,,
619,61 Vir d,0.0715929,0.474527,123.01,0.35,314,2453350.031,3.25,,115617,5019,64924,,,,,
620,HD 179079 b,0.0837774,0.119635,14.476,0.115,357,2454400.5,6.64,,179079,,94256,,,,,0
621,OGLE-05-390L b,,2.72349,3500,,,,,,,,,,,,,
622,WASP-4 b,1.22306,0.0230406,1.3382299,0,90,2454387.328,240,USNO-B1.0 0479-0948995,,,,,,1.341,0.665,3.23303
623,HD 4113 b,1.64829,1.27266,526.62,0.903,317.7,2453778,97.1,,4113,,3391,,,,,0
624,HD 330075 b,0.623724,0.0392074,3.38773,0,0,2452878.815,107,,330075,,77517,,,,,0
625,HD 104985 b,4.9174,0.678014,199.505,0.09,203.5,2451927.5,166.8,2MASS J12051510+7654205,104985,,58952,,,,,0
626,HD 87883 b,1.75571,3.57648,2754,0.53,291,2451139,34.7,,87883,,49699,,,,,0
627,Kepler-81 c,,0.0885967,12.04,,,,,KOI-877,,,,,,0.211,,
628,HD 10180 g,0.0673813,1.42271,602,0,90,2454042.585,1.56,2MASS J01375356-6030414,10180,,7599,,,,,
629,HD 66428 b,2.74962,3.14259,1973,0.465,152.9,2452139,48.3,,66428,,39417,,,,,0
630,HD 52265 b,1.07139,0.499878,119.29,0.325,243,2450833.7,42.1,,52265,2622,33719,,,,,0
631,Kepler-75 b,9.98356,0.0807413,8.884924,0.569,63.6,2455002.991,1288,KIC 757450,,,,,,1.03,11,
632,Kepler-79 b,,,27.402,,,,,KOI-152,,,,,,0.247,0,0
633,HD 16417 b,0.0669595,0.135435,17.24,0.2,77,2450099.74,5,,16417,,12186,9088,,,,0
634,Kepler-15 b,0.66177,0.0571382,4.942782,0.133933,293.311,2454967.27,78.7,KOI-128,,,,,,0.96,0.93,3.27807
635,HD 205739 b,1.48708,0.894939,279.8,0.27,301,2453390.7,42,,205739,,106824,,,,,0
636,CoRoT-16 b,0.535943,0.0617874,5.35227,0.33,168.41,2454924.564,61.96,2MASS J18340592-0600093,,,,,,1.17,0.44,2.99165
637,HD 216770 b,0.646927,0.455837,118.45,0.37,281,2452672,30.9,,216770,,113238,,,,,0
638,HD 136418 b,1.9935,1.29111,464.3,0.255,12,2455228,44.7,,136418,,74961,,,,,
639,Kepler-59 b,,0.103167,11.8681707,,,,,KOI-1529,,,,,,0.176486,,
640,beta Pic b,8.99692,8.76034,7159,,,,,,39060,2020,27321,,,,,
641,GJ 163 d,0.0926098,1.03037,603.95116,0.373,2.064,2452876.662,4.42,2MASS J04091567-5322254,,,19394,,,,,
642,HD 188015 b,1.46957,1.19018,461.2,0.137,222,2451787,37.6,,188015,,97769,,,,,0
643,WASP-59 b,0.859026,0.0696866,7.919585,0.1,74,2455830.669,109.6,,,,,,,0.775,2.3868,3.54717
644,WASP-54 b,0.630293,0.049881,3.6936411,0.067,62,2455518.091,73,2MASS J13414903-0007410,,,,,,1.653,0.186966,2.76029
645,HAT-P-8 b,1.29241,0.0449613,3.076337,0,90,2454437.676,153.1,GSC 02757-01152,,,,,,1.5,0.568,3.21101
646,WASP-15 b,0.541448,0.0499436,3.7521,0,90,2454584.698,63.4,USNO-B1.0 0578-0402627,,,,,,1.379,0.247,2.84873
647,HD 10180 d,0.0376549,0.128581,16.3567,0.143,292,2454005.38,2.93,2MASS J01375356-6030414,10180,,7599,,,,,
648,HD 9446 c,1.81548,0.65375,192.9,0.06,100,2454510,63.9,,9446,,7245,,,,,
649,XO-4 b,1.60219,0.05524,4.1250828,0,90,2454485.933,168.6,2MASS J07213317+5816051,,,,,,1.33,0.903229,3.35405
650,WASP-48 b,0.969551,0.034488,2.143634,0,90,2455364.55,136.02,2MASS J19243895+5528233,,,,,,1.67,0.2793,2.94106
651,HD 37124 b,0.674371,0.533637,154.378,0.054,130,2450305,28.5,,37124,,26381,209,,,,0
652,WASP-32 b,3.441,0.0390315,2.718661,0,90,2455681.195,478,2MASS J00155080+0112016,,,,,,1.1,3.44064,3.85373
653,OGLE-TR-211 b,0.753425,0.0512842,3.67724,0,90,2453428.334,82,2MASS J10401438-6227201,,,,,,1.36,0.661909,3.01194
654,gamma Cep b,1.51728,1.9793,905.574,0.12,49.6,2453121.925,27.5,,222404,8974,116727,,,,,0
655,Kepler-11 g,0,0.465624,118.3807,0,90,2455593.802,,KOI-157,,,,,,0.296741,1.19855,
656,GJ 86 b,4.00104,0.114217,15.76491,0.0416,269,2451903.36,376.7,HD 13445,13445,637,10138,86,,,,0
657,HR 8799 e,,14.5253,16422,0,,,,,218396,8799,114189,,,,,
658,HD 8574 b,1.80603,0.757141,227,0.297,26.6,2453981,58.3,,8574,,6643,,,,,0
659,MOA-2007-BLG-192L b,,,,,,,,,,,,,,,,
660,HD 82886 b,1.30477,1.58126,705,0.066,347,2455200,28.7,2MASS J09354518+3446506,82886,,47087,,,,,
661,HD 179949 b,0.902075,0.0439208,3.092514,0.022,192,2451002.36,112.6,,179949,7291,94645,749,,,,0
662,HD 2952 b,1.62021,1.22755,311.6,0.129,64,2450112,26.3,2MASS J00331038+5453419,2952,135,2611,,,,,
663,MOA-2009-BLG-319L b,,,,,,,,,,,,,,,,
664,HIP 14810 c,1.27518,0.545404,147.76916,0.153155,327.286,2454671.631,49.8989,,,,14810,,,,,0
665,HD 28678 b,1.8997,1.31659,387.1,0.168,128,2455517,33.5,2MASS J04312544+0434309,28678,,21109,,,,,
666,WASP-56 b,0.605178,0.056145,4.617101,0,90,2455730.799,69,2MASS J12132790+2303205,,,,,,1.092,0.580788,3.06142
667,Kepler-18 c,0.054387,0.0752115,7.64159,0.000338541,30.7316,2455165.831,,KOI-137,,,,,,0.489785,0.59,3.0518
668,CoRoT-8 b,0.215994,0.0633825,6.21229,0,90,2454238.974,26,2MASS  J19262124+0125352,,,,,,0.57,1.6,3.22446
669,HD 96167 b,0.68457,1.34724,498.9,0.71,285,2453057,20.8,,96167,,54195,,,,,0
670,HD 43197 b,0.596868,0.918027,327.8,0.83,251,2454713.8,32.4,2MASS J06133564-2953503,43197,,29550,,,,,
671,HD 37605 c,3.36552,3.81754,2720,0.013,221,2454838,48.9,,37605,,26664,,,,,
672,Kepler-81 b,,0.0554099,5.955,,,,,KOI-877,,,,,,0.216,,
673,HD 183263 b,3.57445,1.49006,626.516,0.35672,233.532,2452111.688,84.0443,,183263,,95740,,,,,0
674,Kepler-32 c,0,0.0676835,8.7522,0,90,2454977.378,,KOI-952,,,,,,0.1784,,
675,Kepler-23 b,0,0.0749015,7.10664,0,90,2454971.302,,KOI-168,,,,,,0.169356,,
676,WASP-23 b,0.871881,0.037022,2.9444256,0,,,145.8,,,,,,,0.962,1.29911,3.37951
677,11 Com b,16.1284,1.17872,326.03,0.231,94.8,2452899.6,302.8,,107383,4697,60202,,,,,
678,HD 145377 b,5.78201,0.450064,103.95,0.307,138.1,2454635.4,242.7,,145377,,79346,,,,,0
679,CoRoT-25 b,0.26487,0.0577982,4.86069,0,90,2454576.216,30,2MASS 18423111+0630497,,,,,,1.08,0.15,2.81246
680,omicron CrB b,1.47736,0.826048,187.83,0.191,79,2452211,32.25,2MASS J15200853+2936584,136512,5709,75049,,,,,
681,OGLE-TR-132 b,1.16945,0.0303507,1.689868,0,90,2453142.591,167,,,,,,,1.2,0.85,3.2758
682,beta Gem b,2.75822,1.75739,589.64001,0.02,354.58,2447739.02,41,Pollux,62509,2990,37826,286,,,,
683,Pr 201 b,0.540155,0.0565986,4.4264,0,90,2455992.861,58.1,BD +20 2184,,,,,,,,
684,WASP-52 b,0.45566,0.0271336,1.7497798,0,90,2455793.681,84.3,,,,,,,1.27,0.29172,2.84909
685,47 UMa b,2.54589,2.10149,1078,0.032,334,2451917,48.4,,95128,4277,53721,407,,,,0
686,HD 240210 b,7.28868,1.33364,501.75,0.15,277.49,2454486.76,161.89,,240210,,,,,,,0
687,Kepler-77 b,0.430694,0.0450195,3.57878087,0,90,2455095.866,59.2,2MASS J19182590+4420435,,,,,,0.96,0.603,3.06638
688,HD 109749 b,0.27467,0.0629198,5.24,0,0,2453013.55,28.3,,109749,,61595,,,,,0
689,HD 45364 c,0.658513,0.897549,342.85,0.0974,7.41,2453250.377,21.92,,45364,,30579,,,,,0
690,WASP-50 b,1.46438,0.0294714,1.9550959,0.009,44,2455561.549,256.6,2MASS 02544513-1053530,,,,,,1.153,1.27031,3.43894
691,Kepler-87 c,0.0200995,0.67057,191.2318,0.039,223.2,2456193.706,,KOI-1574,,,,,,0.549,0.152,
692,GJ 3470 b,0.0439877,0.0356123,3.33714,0,90,2455953.665,9.01,2MASS J07590587+1523294,,,,3470,,0.374365,1.07,2.88351
693,HD 96127 b,4.00701,1.42112,647.3,0.3,162,2453969.4,104.8,2MASS J11054595+4418054,96127,,54232,,,,,
694,HD 17156 b,3.30035,0.163197,21.21663,0.6819,121.9,2454757.008,279.8,,17156,,13192,,,1.02,3.78,3.8571
695,HD 16760 b,13.2921,1.08727,465.1,0.067,232,2454723,408,,16760,,12638,,,,,0
696,HD 30562 b,1.33254,2.34083,1157,0.76,81,2450131.5,33.7,,30562,1536,22336,177.1,,,,0
697,Kepler-46 b,,0.1969,33.60134,0.01,270,2455053.294,,KOI-872,,,,,,0.808,0.497406,2.96638
698,epsilon CrB b,6.04937,1.23696,417.9,0.11,133.1,2451235.3,129.4,,143107,,78159,,,,,
699,omicron UMa b,4.09607,3.94973,1630,0.13,58,2453400,33.6,2MASS J08301592+6043056,71369,3323,41704,,,,,
700,TrES-2 b,1.19316,0.0355765,2.47063,0,90,2453957.636,181.3,GSC 03549-02811,,,,,,1.224,0.813,3.29801
701,HD 102195 b,0.452799,0.0479747,4.113775,0,0,2453895.96,63,,102195,,57370,,,,,0
702,HD 75289 b,0.46004,0.047858,3.509267,0.034,141,2450830.34,54.9,,75289,,43177,,,,,0
703,HD 185269 b,0.954212,0.0765701,6.8378503,0.295952,171.817,2453154.089,90.692,,185269,,96507,,,,,0
704,WASP-7 b,0.919256,0.0604573,4.954658,0,90,2453985.015,97,,197286,,,,,0.915,1.67,3.45395
705,WASP-41 b,0.931742,0.0404959,3.052401,0,90,2455343.463,135,2MASS J12422849-3038235,,,,,,1.2,0.663,3.20274
706,BD -10 3166 b,0.429903,0.0437823,3.48777,0.019,334,2451171.22,60.9,TYC 5503-946-1,,,,,,,,0
