ID,NAME,MSINI,A,PER,ECC,OM,T0,K,OTHERNAME,HD,HR,HIPP,GL,KEPID,R,DENSITY,GRAVITY
79,Kepler-37 d,,0.21202,39.792187,0.102489,107.021,2455006.722,,KOI-245,,,,,,0.178,,
80,HD 125595 b,0.0416764,0.0809437,9.6737,0,90,2454435.23,4.79,2MASS J14212322-4023382,125595,,70170,,,,,
81,WASP-79 b,0.884655,0.0534741,3.6623817,0,90,2455545.235,88.2,,,,,,,1.7,0.18,
82,HIP 57274 c,0.410096,0.177758,32.03,0.05,356.2,2455785.208,32.4,2MASS J11444095+3057339,,,57274,,,,,
83,Kepler-30 d,0,0.534239,143.343,0.022,197,2455171.827,,KOI-806,,,,,,0.784384,0.19,
84,HD 93083 b,0.368176,0.476549,143.58,0.14,333.5,2453181.7,18.3,,93083,,52521,,,,,0
85,HD 31253 b,0.501427,1.26054,466,0.3,244,2450660,12,2MASS J04544364+1221079,31253,,22826,,,,,
86,HD 89744 b,8.18778,0.902604,256.78,0.673,195.1,2451505.5,271.6,,89744,4067,50786,9326,,,,0
87,PSR B1257+12 d,,0.416595,98.2114,0.0252,108.3,2449766.5,,,,,,,,,,
88,HD 183263 c,3.47646,4.29488,3066,0.23873,344.598,2451970.94,46.32,,183263,,95740,,,,,0
89,WASP-42 b,0.496749,0.0547344,4.9816877,0,90,2455650.567,64.3,,,,,,,1.063,0.546312,3.03748
90,Kepler-48 b,,0.0534031,4.7779803,,,,,KOI-148,,,,,,0.190748,,
91,HD 192310 c,0.0736073,1.18358,525.8,0.32,110,2455311.915,2.27,2MASS J20151734-2701585,192310,7722,99825,,,,,
92,HD 1690 b,6.52644,1.36191,533,0.64,122,2454449,190,2MASS J00211332-0816521,1690,,1692,,,,,
93,HAT-P-41 b,0.799609,0.0425775,2.694047,0,90,2454983.862,92.5,,,,,,,1.685,0.2,2.84497
94,Kepler-42 c,,0.00585017,0.45328509,,,,,KOI-961,,,,,,0.0650682,,
95,HD 28185 b,5.79721,1.02341,379,0.05,44,2454230.5,163.5,,28185,,20723,,,,,0
96,HD 23127 b,1.40487,2.31864,1214,0.44,190,2450229,27.5,,23127,,17054,,,,,0
97,HD 154672 b,5.00638,0.598618,163.94,0.61,265,2453045.3,225,,154672,,83983,,,,,0
98,Kepler-52 b,,0.0630945,7.8773565,,,,,KOI-775,,,,,,0.187182,,
99,OGLE-TR-10 b,0.626643,0.0434855,3.101278,0,90,2452070.222,80,V5125 Sgr,,,,,,1.25,0.4,3.00418
100,gamma Leo A b,10.3722,1.29554,428.5,0.144,206.7,2451236,208.3,41 Leo A,89484,4057,50583,,,,,
101,NN Ser c,2.24099,6.15467,5571,0.22,39,2453155,26.3,2MASS J15525613+1254446,,,,,,,,
102,HAT-P-2 b,8.85612,0.0679088,5.6334729,0.5171,185.22,2454388.077,983.9,HD 147506,147506,,80076,,,1.157,7.29,4.22659
103,HAT-P-24 b,0.685652,0.0465021,3.35524,0.067,197,2455214.549,83,2MASS J07151801+1415453,,,,,,1.242,0.44,3.03997
104,HD 11506 b,4.7347,2.60488,1405,0.3,262,2453603,80,,11506,,8770,,,,,0
105,tau Boo b,5.95,0.0480039,3.312433,0.023,90,2455652.108,466.4,,120136,5185,67275,527,,,,0
106,HD 34445 b,0.790506,2.06642,1049,0.27,104,2453781,15.7,,34445,,24681,,,,,0
107,OGLE-2007-BLG-368L b,,,,,,,,,,,,,,,,
108,HD 125612 b,3.06805,1.3728,559.40487,0.45899,41.4902,2454894.848,79.793,,125612,,70123,,,,,0
109,Kepler-20 f,0,0.137859,19.57706,0,,2454968.219,,KOI-70,,,,,,0.0918085,0,4.40565
110,42 Dra b,3.73203,1.16693,479.1,0.38,218.7,2452757.4,110.5,,170693,,90344,,,,,0
111,Kepler-53 b,,0.136705,18.6489525,,,,,KOI-829,,,,,,0.257599,,
112,Kepler-11 b,0.01352,0.0914497,10.3039,0.045,45,2455588.553,,KOI-157,,,,,,0.1604,1.72,
113,HD 153950 b,2.74209,1.28031,499.4,0.34,308.2,2454502,69.15,,153950,,83547,,,,,0
114,Kepler-69 b,,0.104565,13.722341,0.16,,2454964.681,,KOI-172,,,,,,0.199661,,
115,Kepler-27 c,0,0.168484,31.3309,0,90,2454986.427,,KOI-841,,,,,,0.436759,,
116,HD 16141 b,0.249652,0.355656,75.523,0.252,42,2450338,11.99,79 Cet,16141,,12048,9085,,,,0
117,Kepler-7 b,0.436942,0.0622369,4.885525,0,90,2454967.276,42.9,KOI-97,,,,,,1.478,0.166,2.69114
118,WASP-24 b,1.08429,0.0365155,2.3412127,0,90,2455081.379,148.2,2MASS J15085174+0220358,,,,,,1.3,0.487,3.2157
119,HAT-P-29 b,0.778006,0.0666842,5.723186,0.095,169,2455198.664,78.3,2MASS J02123147+5146435,,,,,,1.107,0.71,3.19859
120,Kepler-38 b,,0.429659,105.595,0,,,,KOI-1740,,,,,,0.387735,,
121,HD 204313 d,1.60642,3.94498,2831.6,0.28,247,2446376.9,23.7,,204313,,106006,,,,,
122,HD 50554 b,4.39876,2.26097,1224,0.444,7.4,2450646,91.5,,50554,,33212,,,,,0
123,HD 11964 c,0.0770689,0.226601,37.910254,0.301733,101.941,2454366.648,4.64578,,11964,,9094,81.1,,,,0
124,HD 13189 b,7.12332,1.25186,471.6,0.27,160.7,2452327.9,173.3,,13189,,10085,,,,,
125,HD 60532 b,1.0348,0.759258,201.3,0.28,351.9,2453987,29.3,,60532,2906,36795,279,,,,0
126,HAT-P-11 b,0.0825071,0.0525443,4.8878162,0.198,355.2,2454609.801,11.6,,,,97657,,,0.422,1.33,3.09273
127,HD 104067 b,0.185935,0.264333,55.806,0,90,2454043.15,11.56,2MASS J11590999-2021129,104067,,58451,,,,,
128,HD 20794 b,0.00848679,0.120738,18.315,0,0,2454774.806,0.83,2MASS J03195563-4304112,20794,1008,15510,,,,,
129,HD 195019 b,3.57989,0.136688,18.20132,0.0138,231,2451015.5,271.5,,195019,,100970,,,,,0
130,GJ 832 b,0.644279,3.4032,3416,0.12,304,2451211,14.9,,204961,,106440,832,,,,0
131,GJ 667 C b,0.0171709,0.0504235,7.199,0.09,356,2454443,3.8,2MASS J17185868-3459483,,,,667,,,,
132,CoRoT-19 b,1.10724,0.0516604,3.89713,0.047,,,126,2MASS J06280805-0010144,,,,,,1.29,0.71,3.23238
133,alpha Ari b,1.71662,1.1296,380,0.25,89.16,2451213.52,41.1,Hamal b,12929,617,9884,9072,,,,
134,61 Vir b,0.016075,0.05006,4.215,0.12,105,2453367.222,2.12,,115617,5019,64924,,,,,
135,HD 210702 b,1.86459,1.17218,354.29,0.036,282.3,2454142.6,37.45,2MASS J22115133+1602260,210702,,109577,,,,,0
136,HD 62509 b,2.75822,1.75739,589.64001,0.02,354.58,2447739.02,41,Pollux,62509,2990,37826,286,,,,
137,HAT-P-4 b,0.671507,0.0443853,3.056536,0,90,2454245.815,81.1,GSC 0259-01599,,,,,,1.274,0.403,3.0199
138,HAT-P-21 b,4.07346,0.0494951,4.124481,0.228,309,2454995.014,548.3,2MASS J11250598+4101406,,,,,,1.024,4.68,3.98334
139,alpha Cen B b,0.00354639,0.0418506,3.2357,0,0,2455280.17,0.51,HR 5460,128621,5460,71681,559,,,,
140,mu Ara b,1.74552,1.5273,643.25,0.128,22,2452365.6,37.78,,160691,6585,86796,,,,,0
141,WASP-45 b,1.00188,0.0405459,3.1260876,0,90,2455441.269,148.3,2MASS J00205699-3559537,,,,,,1.16,0.8512,3.29465
142,HD 73526 c,2.4209,1.02831,377.8,0.14,13,2451126.076,68,,73526,,42282,,,,,0
143,Kepler-17 b,2.47651,0.0267923,1.4857108,0,90,2455185.678,399,KOI-203,,,,,,1.33,1.3,3.53884
144,14 Her b,5.21486,2.93362,1773.4,0.369,22.6,2451372.7,90,,145675,,79248,614,,,,0
145,HAT-P-33 b,0.76507,0.0502683,3.474474,0.148,96,2455100.545,82.8,2MASS J07324421+3350061,,,,,,1.827,0.15,2.75438
146,OGLE-05-169L b,,3.41991,3300,,,,,,,,,,,,,
147,HIP 79431 b,2.11299,0.358346,111.7,0.29,287.4,2454980.3,149.5,,,,79431,,,,,
148,HD 171238 b,2.60901,2.54268,1523,0.4,47,2455062,52.2,,171238,,91085,,,,,0
149,HIP 5158 b,1.42633,0.887919,345.72,0.52,252,2454580.49,57,2MASS J01060202-2227111,,,5158,,,,,
150,WASP-46 b,2.08495,0.0244921,1.43037,0,90,2455392.316,387,2MASS J21145687-5552184,,,,,,1.31,1.2502,3.48191
151,GJ 849 b,0.830886,2.35317,1882,0.04,355,2451488,22,2MASS J22094029-0438267,,,109388,849,,,,0
152,HAT-P-1 b,0.531143,0.0553326,4.4652934,0,90,2454363.947,60.3,ADS 16402B,,,,,,1.242,0.345,2.93149
153,OGLE2-TR-L9 b,4.50213,0.0413279,2.4855335,0,90,2454492.798,510,,,,,,,1.61,2.4027,3.33881
