ID,HIP
1832,56245
1833,65165
1834,74389
1835,81237
1836,82712
1837,102580
1838,115951
1839,5534
1840,7776
1841,11028
1842,13875
1843,16094
1844,20723
1845,47490
1846,58919
1847,78716
1848,9398
1849,21010
1850,36165
1851,55633
1852,63033
1853,82722
1854,105483
1855,117066
1856,118123
1857,24329
1858,43363
1859,71720
1860,107877
1861,2364
1862,28135
1863,29843
1864,33109
1865,41529
1866,44089
1867,59953
1868,60661
1869,67166
1870,67412
1871,98723
1872,102914
1873,12411
1874,21197
1875,21256
1876,29242
1877,40072
1878,43454
1879,55717
1880,63181
1881,72772
1882,80262
1883,85010
1884,88963
1885,109237
1886,112829
1887,114286
1888,1055
1889,12436
1890,53189
1891,82851
1892,107958
1893,6483
1894,14684
1895,19316
1896,20478
1897,30220
1898,39721
1899,47808
1900,60346
1901,91906
1902,111698
1903,111854
1904,112135
1905,117336
1906,3006
1907,9127
1908,9463
1909,15020
1910,18918
1911,19925
1912,54553
1913,67031
1914,70470
1915,75039
1916,96948
1917,106931
1918,3125
1919,54597
1920,69012
1921,73370
1922,1813
1923,15875
1924,20978
1925,49387
1926,52008
1927,57555
1928,59559
1929,73139
1930,99232
1931,113159
1932,113760
1933,5578
1934,13718
1935,17276
1936,18253
1937,23302
1938,36129
1939,70782
1940,107020
1941,118311
1942,14182
1943,15374
1944,16693
1945,21778
1946,27528
1947,28813
1948,32916
1949,41844
1950,43477
1951,58290
1952,64934
1953,74135
1954,77451
1955,79619
1956,84520
1957,85969
1958,111808
1959,3369
1960,6744
1961,7333
1962,8220
1963,15062
1964,40298
1965,40858
1966,55165
1967,59772
1968,75762
1969,90162
1970,101274
1971,105261
1972,110692
1973,114823
1974,47
1975,9989
1976,14614
1977,54040
1978,58945
1979,59145
1980,79276
1981,98381
1982,102753
1983,105496
1984,111755
1985,112379
1986,37551
1987,48961
1988,76280
1989,80889
1990,81831
1991,84816
1992,85244
1993,112354
1994,114007
1995,898
1996,9400
1997,30243
1998,35209
1999,56760
2000,60462
2001,61986
2002,65116
2003,76292
2004,89320
2005,40089
2006,43274
2007,56955
2008,59904
2009,69028
2010,79946
2011,82844
2012,87207
2013,97927
2014,99542
2015,115430
2016,117288
2017,74
2018,6711
2019,14922
2020,20951
2021,36481
2022,44291
2023,47176
2024,53306
2025,65956
2026,93427
2027,103867
2028,1119
2029,6795
2030,6890
2031,7830
2032,11433
2033,38126
2034,58056
2035,62454
2036,63506
2037,71515
2038,79636
2039,116033
2040,1398
2041,3142
2042,8830
2043,25166
2044,48165
2045,50807
2046,52278
2047,59126
2048,59301
2049,60633
2050,63023
2051,69564
2052,92342
2053,92638
2054,96854
2055,96955
2056,108419
2057,109528
2058,3028
2059,3337
2060,17766
2061,21186
2062,22325
2063,42253
2064,52544
2065,59247
2066,61385
2067,86199
2068,4699
2069,6913
2070,21165
2071,25840
2072,60764
2073,80058
2074,96224
2075,97030
2076,100271
2077,108836
2078,420
2079,1334
2080,11728
2081,14857
2082,22615
2083,75535
2084,38
2085,787
2086,6431
2087,7420
2088,41479
2089,53509
2090,63048
2091,64185
2092,72043
2093,78678
2094,87889
2095,89408
2096,96095
2097,109403
2098,110205
2099,115547
2100,4127
2101,32270
2102,38236
2103,39325
2104,42575
2105,57291
2106,61739
2107,105062
2108,1885
2109,1978
2110,7860
2111,10989
2112,33497
2113,40174
2114,41598
2115,42408
2116,43358
2117,47468
2118,50013
2119,50694
2120,50853
2121,77084
2122,105202
2123,116973
2124,7858
2125,17398
2126,42703
2127,48786
2128,49577
2129,55638
2130,59926
2131,78688
2132,96308
2133,106882
2134,108473
2135,109479
2136,113596
2137,3428
2138,52063
2139,52234
2140,53250
2141,55235
2142,85686
2143,110695
2144,19207
2145,20277
2146,23627
2147,31965
2148,36081
2149,38129
2150,52954
2151,56413
2152,69999
2153,70499
2154,83415
2155,84182
2156,89269
2157,94755
2158,10741
2159,11273
2160,15724
2161,23869
2162,31187
2163,48739
2164,52676
2165,69783
2166,80364
2167,83691
2168,108594
2169,26933
2170,31473
2171,36319
2172,37162
2173,43841
2174,55159
2175,69653
2176,70049
2177,70252
